num_seq,top_k,Alpha,Beta,Delta,Gamma,Omicron,Overall,out_dir
5,5,0.7778,0.7778,0.6667,0.7778,0.5080,0.7016,gene_shap/stability_n5_k5
5,10,0.7172,0.7677,0.8788,1.0000,0.6240,0.7975,gene_shap/stability_n5_k10
5,50,0.8411,0.8423,0.9110,0.9357,0.8131,0.8686,gene_shap/stability_n5_k50
5,100,0.8947,0.9293,0.9419,0.8876,0.7561,0.8819,gene_shap/stability
10,5,0.7778,0.7778,0.6667,0.7778,0.7778,0.7556,gene_shap/stability_n10_k5
10,100,0.9293,0.9355,0.9481,0.9481,0.8928,0.9307,gene_shap/stability_n10_k100
25,5,0.7778,0.7778,0.7778,0.7778,0.7778,0.7778,gene_shap/stability_n25_k5
25,100,0.9232,0.9609,0.9544,0.9481,0.9296,0.9432,gene_shap/stability_n25_k100
50,5,0.7778,0.7778,0.7778,0.7778,1.0000,0.8222,gene_shap/stability_n50_k5
50,100,0.9673,0.9673,0.9737,0.9419,0.9355,0.9571,gene_shap/stability_n50_k100
100,5,0.7778,0.7778,1.0000,0.7778,1.0000,0.8667,gene_shap/stability_n100_k5
100,100,0.9868,0.9737,0.9802,0.8762,0.9609,0.9556,gene_shap/stability_n100
