Positions,P-Value
1,7.456220027165738e-08
2,2.0074169000918165e-20
3,2.564303688996209e-06
4,0.000489009804127277
5,5.382594686143277e-05
6,0.0002467926250445864
7,0.0007937104348116441
8,1.8757798039496633e-06
9,0.0023587437539953956
10,1.794819629212473e-05
11,2.3130107537761475e-05
12,7.583673614655827e-08
13,1.5540983497300117e-05
14,1.4969365791045374e-08
15,6.726167176593767e-06
16,2.1458125638639224e-08
17,3.107807311150031e-05
18,3.472944831345454e-07
19,3.3727643652689896e-06
20,2.4158931448559272e-05
21,8.103023917561044e-45
22,2.801952964208472e-07
23,2.7847565452598946e-07
24,5.962365767564903e-09
25,2.1941338950037865e-16
26,2.233879213332067e-18
27,6.461628650844415e-17
28,5.084822652202905e-16
29,9.419572524716401e-18
30,1.3157214266321241e-30
31,6.401407007532986e-47
32,4.154560265902093e-46
33,7.369829263726517e-44
34,3.8581703154945415e-46
35,1.5783762863037828e-41
36,8.019108459362128e-50
37,2.2974125134329205e-66
38,1.774939008061194e-95
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,2.8674240995227135e-296
48,4.041891202102877e-296
49,2.9646349473402967e-291
50,5.876480740307608e-237
51,6.295013612621498e-143
52,4.497413998780178e-142
53,3.893560485066844e-142
54,2.4807565260809827e-142
55,5.705076296333695e-82
56,4.619890136755081e-81
57,5.385581072822246e-80
58,8.762003251752734e-82
59,3.6467057569247915e-78
60,6.616523884332874e-74
61,1.7052553303787652e-69
62,6.760302034160485e-72
63,3.813038282330613e-68
64,4.5335831575981796e-68
65,1.1701197257264972e-66
66,6.608337089756372e-74
67,5.01340326412305e-42
68,1.424288582350579e-40
69,4.014366731269826e-40
70,1.824394343761145e-41
71,5.371490207508125e-40
72,3.392264578642052e-66
73,1.4795377935764192e-23
74,1.7137606003461723e-24
75,2.814869970337502e-23
76,9.840192914930927e-31
77,2.6882601125494065e-30
78,1.2065653767341487e-28
79,1.772087243768048e-35
80,4.676679855612907e-32
81,4.846166337967061e-32
82,8.870696740770868e-31
83,2.3978492083804564e-32
84,3.561497019774129e-77
85,3.1072391629610277e-34
86,4.3119886318231485e-31
87,1.639131213763023e-40
88,6.508252809276947e-38
89,6.662178893898032e-38
90,2.9536085930176066e-39
91,3.072833320000622e-34
92,2.7496542104828835e-36
93,2.387259521439901e-36
94,4.33289980643333e-34
95,8.26773718541767e-45
96,1.853280843123543e-34
97,4.62525216819437e-35
98,8.551018480386545e-35
99,7.149799134183068e-35
100,2.0429302606583043e-30
101,1.3274697362255261e-58
102,3.756516492837161e-37
103,1.678137515302142e-34
104,3.0800539513310728e-34
105,4.989338257771772e-32
106,3.300960124892511e-33
107,7.206992059994932e-33
108,3.513554881772589e-33
109,2.4125887166734323e-34
110,5.037435517571094e-32
111,9.156042250659978e-33
112,2.13202835835669e-32
113,6.927188378071465e-31
114,1.0362298157467044e-30
115,1.2570940631477763e-34
116,3.3674933445193036e-34
117,5.4009219011765505e-30
118,5.697669574705188e-31
119,2.7438022142917278e-28
120,4.823463195521834e-30
121,8.446965688182275e-31
122,7.088767797629983e-31
123,3.95017958294949e-31
124,2.2139812236096342e-27
125,6.185222551340693e-29
126,2.0328795368071434e-28
127,3.699001246091037e-28
128,6.864061890556312e-28
129,2.2385256446128342e-29
130,2.7872651063279914e-29
131,1.4789913547074302e-29
132,1.0153585061158688e-29
133,2.8045997636979585e-30
134,2.4558095572288086e-30
135,9.396384935232123e-30
136,4.3651523068803075e-26
137,2.1666706526711903e-25
138,7.135296905718781e-27
139,2.082017578969964e-27
140,9.716534727196887e-26
141,2.5069578977240873e-27
142,1.1091161396828647e-26
143,1.6440105688382917e-41
144,7.502699982907891e-25
145,7.800263674509464e-25
146,2.967418641638463e-25
147,1.0295124345974393e-31
148,1.2419572484694948e-26
149,3.3817483920631864e-27
150,5.205924280932213e-27
151,2.4825122826993977e-25
152,4.6937328877836735e-26
153,1.8759787459828778e-26
154,1.7953077811093074e-26
155,3.6608048999899465e-23
156,1.6732912693412046e-25
157,5.694718753984997e-23
158,2.0819037847788128e-22
159,4.742409496441625e-24
160,7.823427477540172e-22
161,1.0327922549947708e-28
162,2.706882655124533e-23
163,1.990026120929111e-21
164,2.2145542343790916e-22
165,4.445979129720113e-21
166,1.2507317259404238e-21
167,5.012254000180982e-19
168,2.0651529588562402e-24
169,2.658088461695383e-23
170,8.170606675558195e-25
171,1.7841714269716066e-21
172,1.8493075565437607e-24
173,7.055922610678161e-24
174,0.0
175,3.095424990074728e-23
176,3.145930948150444e-22
177,1.0189306853396189e-23
178,8.188041367532648e-23
179,8.596821875017185e-22
180,2.9769161850230174e-24
181,2.2254864921479133e-22
182,1.2563025969332728e-21
183,4.895032675594271e-20
184,1.1333263605129082e-22
185,9.816726034355131e-21
186,1.6427415621582468e-21
187,4.525926561904139e-21
188,4.648911640407402e-20
189,3.376142765408415e-32
190,6.4862842154594025e-21
191,6.76993584401944e-23
192,5.2240326163742024e-24
193,9.443068045408404e-25
194,1.3560287134137165e-21
195,5.0952647298377464e-23
196,1.674915363577327e-23
197,6.38492966035269e-23
198,2.6118314991853424e-20
199,4.494924070436957e-33
200,4.8056776606156976e-24
201,1.956246368103814e-26
202,3.9201107301015616e-17
203,6.337933259902716e-40
204,1.6718271013401448e-17
205,6.334502073637014e-18
206,4.268882943908559e-19
207,3.2625084374359614e-22
208,2.952759903204469e-18
209,1.3744728928410503e-19
210,0.0
211,1.497221192592559e-18
212,1.187002635368107e-20
213,1.1934683523789133e-20
